entry_date,exit_date,signal_type,entry_price,exit_price,result,pnl_pct,pnl_usd,capital,days
2017-05-18,2017-05-31,C_LongOro,1251.699951171875,1272.0,WIN,3.95,19.75,519.75,13
2017-06-28,2017-06-30,C_LongOro,1248.0,1240.699951171875,LOSS,-2.05,-10.65,509.1,2
2017-07-18,2017-07-27,C_LongOro,1241.0999755859375,1259.5999755859375,WIN,3.95,20.11,529.2,9
2017-08-28,2017-09-05,C_LongOro,1309.699951171875,1339.199951171875,WIN,3.95,20.9,550.11,8
2017-09-07,2017-09-11,C_LongOro,1345.0999755859375,1331.0,LOSS,-2.05,-11.28,538.83,4
2017-11-24,2017-11-30,C_LongOro,1286.699951171875,1273.199951171875,LOSS,-2.05,-11.05,527.78,6
2017-12-29,2018-01-05,C_LongOro,1306.300048828125,1320.300048828125,WIN,3.95,20.85,548.63,7
2018-01-12,2018-01-18,C_LongOro,1333.4000244140625,1326.0,LOSS,-2.05,-11.25,537.39,6
2018-01-24,2018-01-30,C_LongOro,1355.9000244140625,1335.4000244140625,LOSS,-2.05,-11.02,526.37,6
2018-02-14,2018-02-20,C_LongOro,1355.5,1328.800048828125,LOSS,-2.05,-10.79,515.58,6
2018-03-23,2018-03-28,C_LongOro,1349.300048828125,1324.199951171875,LOSS,-2.05,-10.57,505.01,5
2018-04-10,2018-04-23,C_LongOro,1342.0,1322.5,LOSS,-2.05,-10.35,494.66,13
2018-08-21,2018-08-24,C_LongOro,1192.5999755859375,1206.300048828125,WIN,3.95,19.54,514.2,3
2018-08-28,2018-08-30,C_LongOro,1207.4000244140625,1197.699951171875,LOSS,-2.05,-10.54,503.65,2
2018-12-31,2019-01-03,C_LongOro,1278.300048828125,1291.800048828125,WIN,3.95,19.89,523.55,3
2019-01-07,2019-01-22,C_LongOro,1286.800048828125,1282.5,LOSS,-0.384,-2.01,521.54,15
2019-07-12,2019-07-17,A_LongPlata_ShortOro,1409.9000244140625,1421.300048828125,WIN,3.95,20.6,542.14,5
2019-10-18,2019-10-31,C_LongOro,1488.199951171875,1511.4000244140625,WIN,3.95,21.41,563.55,13
2019-12-30,2020-01-03,C_LongOro,1514.5,1549.199951171875,WIN,3.95,22.26,585.81,4
2020-03-24,2020-03-25,A_LongPlata_ShortOro,1660.199951171875,1632.300048828125,LOSS,-2.05,-12.01,573.8,1
2020-03-26,2020-03-27,A_LongPlata_ShortOro,1650.0999755859375,1623.9000244140625,LOSS,-2.05,-11.76,562.04,1
2022-01-13,2022-01-25,C_LongOro,1821.199951171875,1852.699951171875,WIN,3.95,22.2,584.24,12
2022-02-02,2022-02-11,C_LongOro,1809.199951171875,1840.800048828125,WIN,3.95,23.08,607.32,9
2022-10-25,2022-10-31,C_LongOro,1652.800048828125,1635.9000244140625,LOSS,-2.05,-12.45,594.87,6
2022-11-07,2022-11-08,C_LongOro,1676.5,1712.0999755859375,WIN,3.95,23.5,618.37,1
2022-11-10,2022-11-25,C_LongOro,1750.300048828125,1753.300048828125,WIN,0.121,0.75,619.12,15
2022-12-01,2022-12-05,C_LongOro,1801.0999755859375,1767.4000244140625,LOSS,-2.05,-12.69,606.42,4
2022-12-14,2022-12-15,C_LongOro,1807.5,1777.199951171875,LOSS,-2.05,-12.43,593.99,1
2023-01-09,2023-01-13,C_LongOro,1872.699951171875,1918.4000244140625,WIN,3.95,23.46,617.46,4
2023-03-13,2023-03-17,C_LongOro,1911.699951171875,1969.800048828125,WIN,3.95,24.39,641.85,4
2023-03-20,2023-03-21,C_LongOro,1979.199951171875,1938.0,LOSS,-2.05,-13.16,628.69,1
2023-03-22,2023-04-04,C_LongOro,1946.800048828125,2022.199951171875,WIN,3.95,24.83,653.52,13
2023-04-13,2023-04-14,C_LongOro,2041.300048828125,2002.199951171875,LOSS,-2.05,-13.4,640.12,1
2023-06-15,2023-06-20,C_LongOro,1957.800048828125,1935.5,LOSS,-2.05,-13.12,627.0,5
2023-07-10,2023-07-12,C_LongOro,1925.0,1956.199951171875,WIN,3.95,24.77,651.77,2
2023-07-13,2023-07-18,C_LongOro,1959.199951171875,1977.199951171875,WIN,3.95,25.74,677.51,5
2023-10-23,2023-11-07,C_LongOro,1976.300048828125,1966.800048828125,LOSS,-0.531,-3.6,673.92,15
2023-11-14,2023-11-21,C_LongOro,1961.800048828125,1999.300048828125,WIN,3.95,26.62,700.54,7
2023-11-28,2023-12-05,C_LongOro,2039.699951171875,2018.5,LOSS,-2.05,-14.36,686.18,7
2023-12-13,2023-12-14,C_LongOro,1982.300048828125,2030.199951171875,WIN,3.95,27.1,713.28,1
2023-12-15,2023-12-27,C_LongOro,2021.0999755859373,2081.89990234375,WIN,3.95,28.17,741.45,12
2024-05-03,2024-05-10,C_LongOro,2299.0,2367.300048828125,WIN,3.95,29.29,770.74,7
2024-05-15,2024-05-20,C_LongOro,2388.699951171875,2433.89990234375,WIN,3.95,30.44,801.19,5
2024-06-03,2024-06-07,C_LongOro,2346.60009765625,2305.199951171875,LOSS,-2.05,-16.42,784.76,4
2024-07-05,2024-07-08,C_LongOro,2388.5,2355.199951171875,LOSS,-2.05,-16.09,768.67,3
2024-07-12,2024-07-16,C_LongOro,2414.0,2462.39990234375,WIN,3.95,30.36,799.04,4
2024-08-02,2024-08-06,C_LongOro,2425.699951171875,2389.10009765625,LOSS,-2.05,-16.38,782.66,4
2024-08-27,2024-08-30,C_LongOro,2516.0,2493.800048828125,LOSS,-2.05,-16.04,766.61,3
2024-09-16,2024-09-20,C_LongOro,2580.39990234375,2619.89990234375,WIN,3.95,30.28,796.89,4
2024-11-27,2024-12-11,C_LongOro,2639.89990234375,2733.800048828125,WIN,3.95,31.48,828.37,14
2025-04-28,2025-05-01,A_LongPlata_ShortOro,3332.5,3210.0,LOSS,-2.05,-16.98,811.39,3
2025-05-06,2025-05-08,A_LongPlata_ShortOro,3411.39990234375,3296.60009765625,LOSS,-2.05,-16.63,794.76,2
2025-05-15,2025-05-16,A_LongPlata_ShortOro,3220.699951171875,3182.0,LOSS,-2.05,-16.29,778.46,1
2025-05-19,2025-05-21,A_LongPlata_ShortOro,3228.89990234375,3309.300048828125,WIN,3.95,30.75,809.21,2
2025-05-22,2025-05-23,A_LongPlata_ShortOro,3292.300048828125,3363.60009765625,WIN,3.95,31.96,841.18,1
2025-05-26,2025-05-27,A_LongPlata_ShortOro,3363.60009765625,3299.10009765625,LOSS,-2.05,-17.24,823.93,1
2025-06-02,2025-06-06,A_LongPlata_ShortOro,3370.60009765625,3322.699951171875,LOSS,-2.05,-16.89,807.04,4
2025-06-12,2025-06-13,A_LongPlata_ShortOro,3380.89990234375,3431.199951171875,WIN,3.95,31.88,838.92,1
2025-06-16,2025-06-20,A_LongPlata_ShortOro,3396.39990234375,3368.10009765625,LOSS,-2.05,-17.2,821.72,4
