entry_date,exit_date,signal_type,entry_price,exit_price,result,pnl_pct,pnl_usd,capital,days
2017-02-08,2017-02-16,C_LongOro,821.8563846916367,842.5953668856137,WIN,3.95,19.75,519.75,8
2017-06-02,2017-06-09,C_LongOro,975.6030664290475,962.3858608364624,LOSS,-2.05,-10.65,509.1,7
2017-10-31,2017-11-07,C_LongOro,809.3058860273551,830.4403484551912,WIN,3.95,20.11,529.2,7
2017-12-21,2017-12-25,C_LongOro,851.1010020809601,832.5826020641352,LOSS,-2.05,-10.85,518.36,4
2018-01-22,2018-01-25,C_LongOro,798.0704363047399,832.9867657639303,WIN,3.95,20.48,538.83,3
2018-01-26,2018-01-29,C_LongOro,832.4172209319701,820.8607250563738,LOSS,-2.05,-11.05,527.78,3
2018-04-13,2018-04-30,C_LongOro,786.144546312939,772.5094467544002,LOSS,-2.05,-10.82,516.97,17
2018-06-18,2018-06-19,A_LongPlata_ShortOro,783.3962484732383,798.4703704716563,WIN,3.95,20.42,537.39,1
2018-07-04,2018-07-11,C_LongOro,848.047392874519,875.3898563744199,WIN,3.95,21.23,558.61,7
2018-07-12,2018-07-16,C_LongOro,872.5056618409479,855.3013683293078,LOSS,-2.05,-11.45,547.16,4
2018-07-26,2018-07-31,C_LongOro,863.7389731820737,882.534147755059,WIN,3.95,21.61,568.77,5
2018-08-01,2018-08-03,C_LongOro,866.8541064928166,856.5752288409643,LOSS,-2.05,-11.66,557.11,2
2018-09-03,2018-09-04,C_LongOro,904.649443778594,919.2123945090068,WIN,3.95,22.01,579.12,1
2018-09-18,2018-09-27,C_LongOro,889.4089975583129,908.2428610877988,WIN,3.95,22.88,601.99,9
2018-10-08,2018-10-15,C_LongOro,890.269522811817,881.0054243752993,LOSS,-2.05,-12.34,589.65,7
2018-10-22,2018-10-25,C_LongOro,902.8422757620882,922.9256642635904,WIN,3.95,23.29,612.95,3
2018-11-29,2018-11-30,A_LongPlata_ShortOro,916.3883047873624,926.8263646369668,WIN,3.95,24.21,637.16,1
2018-12-05,2018-12-06,A_LongPlata_ShortOro,922.6585765238924,933.0231658187796,WIN,3.95,25.17,662.32,1
2019-01-09,2019-01-24,C_LongOro,930.5511307577502,912.6457894596452,LOSS,-2.05,-13.58,648.75,15
2019-01-30,2019-02-14,C_LongOro,951.9334756197676,989.802125496445,WIN,3.95,25.63,674.37,15
2019-02-15,2019-02-25,C_LongOro,1001.8741349815808,1027.3649524635964,WIN,3.95,26.64,701.01,10
2019-02-28,2019-03-01,C_LongOro,1057.3953669683954,1047.1517657236311,LOSS,-2.05,-14.37,686.64,1
2019-03-19,2019-03-25,C_LongOro,1080.3045624115657,1127.0196325495522,WIN,3.95,27.12,713.76,6
2019-03-26,2019-04-03,C_LongOro,1138.7961818817794,1165.5620952377035,WIN,3.95,28.19,741.95,8
2019-04-10,2019-04-11,C_LongOro,1162.2119763305593,1146.9772503106165,LOSS,-2.05,-15.21,726.74,1
